OBJECTID_1,ProjectID,ProjName,dtmBoardAp,Type,Function_,Program,PrimPurp,PrimGrante,County,WCBFunding,TotalCost,TotalAcres,Comment,OBJECTID,Shape_Leng,Shape__Area,Shape__Length,GlobalID
1551,2001016,"Coachella Valley Ecological Reserve, Expansion 7 (Sand Source Corridor Unit)",2001/02/23 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Desert Habitat,California Department of Fish and Wildlife,Riverside,79200,46754.74,4.88, ,1565,605.703096305,30738.875,729.66930336802,f9d84c52-728a-4a2a-b291-02421706c160
1552,2001017,"Coachella Valley Ecological Reserve, Expansion 8 (Sand Source Corridor Unit)",2001/02/23 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Desert Habitat,California Department of Fish and Wildlife,Riverside,14000,8393.33,2.2, ,1566,401.161002892,14555.1953125,483.690348053421,480f83f8-a28a-447f-b1e3-3e5d133f17bb
1553,2001018,"Coachella Valley Ecological Reserve, Expansion 9 (Sand Source Corridor Unit)",2001/02/23 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Desert Habitat,California Department of Fish and Wildlife,Riverside,14000,7589.33,2.2, ,1567,345.514506753,10661.20703125,416.663311454748,12ae37b8-cbb1-4334-88e6-7fad17ce221d
1554,2001020,Ferry Point Pier,2001/02/23 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,East Bay Regional Park District,Contra Costa,500270,2091783,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1568,702.092165589,7039.78515625,890.555048270569,19c42397-e9ae-4b86-b181-9c1c13802fbd
1555,2001021,Fields Landing Public Access Amendment,2001/02/23 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Humboldt,Humboldt,10260,10125,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1569,165.199552982,2772.53515625,217.988547190169,9cec807a-4bc4-4645-953f-1713150b907a
1556,2001022,Gateway to Lake Isabella Wetlands Preserve,2001/02/23 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Interior Wetlands,County of Kern,Kern,29000,100736,19, ,1570,1173.99066284,122725.4609375,1445.72387578148,8c8a0671-8571-4ab6-b074-e6d50b32e45f
1557,2001023,Hollenbeck Canyon Wildlife Area (Change of Scope),2001/02/23 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,County of San Diego,San Diego,0,0,0, ,1571,6100.66184503,935426.1015625,7279.45132420058,b0f80937-2eac-4793-be17-b73ccee7c046
1558,2001027,"Humboldt Bay Wildlife Area, Jacoby Creek/Gannon Slough Unit",2001/02/23 00:00:00+00,Acquisition,Fee Title,California Riparian Habitat Conservation Program,Riparian Habitat,Jacoby Creek Land Trust,Humboldt,550000,545512,63, ,1572,2992.77861655,433353.515625,3956.39715033541,47d27f46-7b8c-4cb7-afe8-d0a4d47f0b07
1559,2001028,Kern River Planting Base Public Access (Restroom),2001/02/23 00:00:00+00,Development,Public Access,Public Access Program,Fish Hatchery,California Department of Fish and Wildlife,Kern,120135,105251,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1573,199.897226582,3801.64453125,246.630213354523,ece65a04-e24e-4159-9ce6-5b91b1a401c9
1560,2001029,Lake Redding Fishing Access Amendment,2001/02/23 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,City of Redding,Shasta,82260,301330,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1574,2489.06244468,516316.5078125,3276.77166818405,7b4d3665-6ffe-442e-8ecf-97a90b8dbc21
1561,2001030,Lake Tahoe Public Access Improvements,2001/02/23 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,Tahoe City Public Utility District,Placer,652270,652270,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1575,1186.06970287,58084.78515625,1531.57739931913,c22fd6e7-fe1e-407b-95bf-63f0ce032da1
1562,2001032,Montana Mirador Preserve,2001/02/23 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,City of San Diego,San Diego,3385000,7806476,538, ,1576,10581.8563362,3316502.94140625,12632.8053320747,21a546c1-f60f-4fb7-87f8-7a9599ab7ee8
1563,2001033,Sacramento River Conservation Area,2001/02/23 00:00:00+00,Acquisition,Fee Title,California Riparian Habitat Conservation Program,Riparian Habitat,The Nature Conservancy,Glenn,808000,808000,102, ,1577,2594.85950503,673474.0234375,3377.12809196813,513afe8a-8edd-465a-abea-22be47a20bc6
1564,2001034,"Sacramento River Conservation Area, Expansion 1",2001/02/23 00:00:00+00,Acquisition,Fee Title,California Riparian Habitat Conservation Program,Riparian Habitat,The Nature Conservancy,Glenn,564500,561904,89, ,1578,2519.50463414,630016.953125,3278.34384829993,ae52f2eb-46ef-441c-ad7e-74757bc7408c
1565,2001035,"San Bruno Mountain, Brisbane Acres",2001/02/23 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,City of Brisbane,San Mateo,1000,300736,6, ,1579,981.513767157,38152.328125,1241.28368990844,f5512244-917a-4ec2-a082-e6b73d7d1e18
1566,2001036,"Santa Ysabel Valley Wildlife Area, (Edwards Ranch East)",2001/02/23 00:00:00+00,Acquisition,Fee Title,California Riparian Habitat Conservation Program,Riparian Habitat,County of San Diego,San Diego,3105000,6098145.04,3807, ,1580,22221.2872229,23150409.6210938,26554.0834551339,c367e8dc-b5f6-47cf-aead-68137397ba16
1567,2001037,"Santa Ysabel Valley Wildlife Area, Expansion 1, (Edwards Ranch West)",2001/02/23 00:00:00+00,Acquisition,Fee Title,California Riparian Habitat Conservation Program,Riparian Habitat,County of San Diego,San Diego,3005000,2998145.04,1512, ,1581,15038.8467457,7917161.03515625,17998.2862175365,a85ebf28-14fa-425a-bc73-78ac1c4e9c53
1568,2001038,South Fork Kern River Ecological Reserve (Canebrake Creek Expansion 1),2001/02/23 00:00:00+00,Acquisition,Fee Title,California Riparian Habitat Conservation Program,T&E Species Habitat,California Department of Fish and Wildlife,Kern,248000,237999.2,120, ,1582,3161.2175292,695181.171875,3897.67156421376,54e7733f-511e-4676-a90e-c330f49f2fbd
1569,2001039,Upper Cosumnes River Basin,2001/02/23 00:00:00+00,Acquisition,Conservation Easement,California Riparian Habitat Conservation Program,Riparian Habitat,American River Conservancy,El Dorado,590000,1768104,1178, ,1583,18006.2904828,7924943.37109375,23037.9072067739,5476fa06-1f17-46bf-aace-7b847fccfb30
1570,2001040,"Wetlands Habitat Restoration, East Grasslands (Castle Land and Cattle), Phase III",2001/02/23 00:00:00+00,Development,Restoration/Enhancement,Inland Wetlands Conservation Program,Interior Wetlands,California Waterfowl Association,Merced,178500,77615,270,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1584,6039.71483339,1679825.7421875,7583.03959233257,eecfe7c9-aa3a-4023-9308-0b48e32e4452
1571,2001042,"Wetlands Habitat Restoration, Upper Butte Basin Wildlife Area, Little Dry Creek Unit",2001/02/23 00:00:00+00,Development,Restoration/Enhancement,Inland Wetlands Conservation Program,Interior Wetlands,"Ducks Unlimited, Inc.",Butte,35500,73520,540,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1585,23624.0838804,26132280.421875,30589.636569216,8ef9d9e5-52b6-49a2-a977-65040295cf94
1572,2001043,Wildwood Native Park Public Access,2001/02/23 00:00:00+00,Development,Public Access,Public Access Program,Wildlife Related Access,San Joaquin River Conservancy,Madera,75000,198225,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1586,1254.77600515,121560.1796875,1569.8104743634,864354db-71b5-4750-bdd7-3fd4a0cb20cd
1573,2001044,Bear River Fishing Access Improvements,2001/05/18 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Placer,Placer,80070,101220.29,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1587,11308.706436,1827858.1015625,14579.5896404714,dc05bb78-7cf7-4e88-99c6-111bd27159cc
1574,2001045,"Big Chico Creek, Expansion 1",2001/05/18 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,T&E Species Habitat,CSU Chico Research Foundation,Butte,1750000,3461012,1226, ,1588,14758.7354766,9670660.1328125,19245.2103883337,f5fb812c-2885-4aee-87bc-39824d09d9f6
1575,2001047,"Coachella Valley Ecological Reserve, Expansion 12",2001/05/18 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Desert Habitat,California Department of Fish and Wildlife,Riverside,425000,416377.5,34, ,1589,1609.36494242,234707.98046875,1939.32883806492,b2e6d810-3a04-4500-8619-e3dbb1d1e71d
1576,2001048,"Coachella Valley Ecological Reserve, Expansion 13",2001/05/18 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Desert Habitat, ,Riverside,825000,0,73, ,1590,2450.51417913,487645.8671875,2955.56339843254,a5117ab2-3044-4f37-ba9b-b7eae3b6c29b
1577,2001049,"Daugherty Hill Wildlife Area, Expansion 8",2001/05/18 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Oak Woodland/Oak Savannah Habitat,California Department of Fish and Wildlife,Yuba,60000,55790,20, ,1591,1276.16129996,108810.828125,1649.02096961951,244c65ab-aec6-45f5-9b87-c777b5dac233
1578,2001050,East Merced Vernal Pool Grassland Preserve,2001/05/18 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Vernal Pool Habitat,California Rangeland Trust,Mariposa,1834700,1362761.8,3931, ,1592,24168.648371,24630061.4140625,30414.9319153219,ee0164e4-59ba-458a-8d67-e99d22b90e94
1579,2001051,"East Merced Vernal Pool Grassland Preserve, Expansion 1",2001/05/18 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Vernal Pool Habitat,The Nature Conservancy,Merced,2545000,2542208,3595, ,1593,17831.8002399,23373148.046875,22482.9376991236,8dbb3982-2cff-46c7-9e44-2fd81d2a889d
1580,2001052,French Valley Wildlife Area,2001/05/18 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,California Department of Fish and Wildlife,Riverside,10950000,19534819.58,702, ,1594,8331.34755114,3892657.59375,10002.5453814231,2482bd46-15e1-40b8-8729-8a9794308a8b
1581,2001053,Hamilton Branch Fishing Access,2001/05/18 00:00:00+00,Acquisition,Fee Title,Public Access Program,Fishing Access,California Department of Fish and Wildlife,Plumas,310000,303648.25,3.5, ,1595,470.929839068,21173.82421875,617.217300864175,d8f8e76b-30d5-4688-ab6f-4115c0c21d16
1582,2001054,Hudeman Slough Public Fishing Access Improvements,2001/05/18 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Sonoma,Sonoma,21870,20506.03,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1596,688.295202157,21062.75390625,876.709015324356,c47258c2-a110-40b5-ba53-de53a9647f32
1583,2001055,Irish Hills Conservation Area,2001/05/18 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,City of San Luis Obispo,San Luis Obispo,301500,1245920,154, ,1597,3443.390273,880603.92578125,4220.94441636959,d0d418b6-b53a-4b54-86a7-42ef797b3175
1584,2001056,"Lakeside Linkages, Expansion 5",2001/05/18 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,County of San Diego,San Diego,105000,0,12, ,1598,1000.15500328,86909.0078125,1191.02931313859,66b5b0a7-1bae-4456-9109-347e4d0a8239
1585,2001057,"Lassen Foothills, Expansion 1, (Eagle Canyon Ranch Conservation Easement)",2001/05/18 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Vernal Pool Habitat,The Nature Conservancy,Tehama,170000,546656,990, ,1599,10557.3737153,7053796.2421875,13879.3978455227,aea49c4b-5dcc-421b-b604-1edaf408ad64
1586,2001058,Leek Springs Valley Ecological Reserve,2001/05/18 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,California Department of Fish and Wildlife,El Dorado,175000,391247,161, ,1600,3854.14012183,990344.07421875,4936.88040129139,52bd2274-55e3-436b-a915-0733a55d514a
1587,2001059,Mid-State Bank Donation,2001/05/18 00:00:00+00,Acquisition,Fee Title,Natural Heritage Preservation Tax Credit Program,Tax Credit - PRC 37015(e),Cambria Community Services District,San Luis Obispo,1285250,2336000,20.75, ,1601,2482.08797937,123439.15625,3054.94111947141,f5f5dc5e-f956-4988-a416-bf6865bce1f4
1588,2001060,Mill Creek,2001/05/18 00:00:00+00,Acquisition,Fee Title,California Riparian Habitat Conservation Program,Fisheries Habitat,Save-the-Redwoods League,Del Norte,15000000,65489000,24772, ,1602,57887.0461881,180265158.203125,77556.1847559019,f1b93542-2eed-490a-94d0-29ec01c610e5
1589,2001061,Mill Creek Fishing Access Improvements,2001/05/18 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Tehama,Tehama,205270,468260,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1603,177.811429373,2639.734375,232.526593035166,1af88665-7c34-48bf-bba5-68602b3cf413
1590,2001062,Musty Buck Ridge Conservation Easement,2001/05/18 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Oak Woodland/Oak Savannah Habitat,California Department of Fish and Wildlife,Butte,1765000,1760047.5,3884, ,1604,20095.5046062,26431553.6015625,26169.8100824539,e488596c-b47a-4e17-b6d4-a1da049c91ea
1591,2001064,"Oroville Wildlife Area Ponds, Fishing Access Improvements",2001/05/18 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,Feather River Recreation And Park District,Butte,250270,250260,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1605,5218.84844599,844430.77734375,6772.17342713286,6798b071-a69c-4f49-928a-7dfb32766ea0
1592,2001065,"Riparian Habitat Restoration, Sacramento River Wildlife Area, Moulton Weir Unit",2001/05/18 00:00:00+00,Development,Restoration/Enhancement,California Riparian Habitat Conservation Program,Riparian Habitat,River Partners,Colusa,248420,254920,46,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1606,2933.03332803,807980.73828125,3793.8638898873,dd857946-3631-463f-824c-d029654aff05
1593,2001066,"Riparian Habitat Restoration Upper Butte Basin Wildlife Area, Howard Slough Unit",2001/05/18 00:00:00+00,Development,Restoration/Enhancement,California Riparian Habitat Conservation Program,Riparian Habitat,California Waterfowl Association,Glenn,329000,326439.65,119,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1607,15228.2943356,4655550.60546875,19755.4477828609,ca257ebe-a9c5-43db-af72-7d128c4a4467
1594,2001067,"Sacramento River Conservation Area, Expansion 2",2001/05/18 00:00:00+00,Acquisition,Fee Title,California Riparian Habitat Conservation Program,Riparian Habitat,U.S. Fish and Wildlife Service,Glenn,2500,368,103, ,1608,2609.67253188,595603.58203125,3395.01792929976,6e9a3db6-7824-4cc8-9b3d-e055ccb3214a
1595,2001079,"Suisun Marsh Waterfowl Production and Enhancement, Phase 2",2001/05/18 00:00:00+00,Development,Restoration/Enhancement,Inland Wetlands Conservation Program,Interior Wetlands,"Ducks Unlimited, Inc.",Solano,160000,559999.08,14000,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1609,231998.223175,140588965.199219,295229.572551161,808994c0-6646-450e-b05c-3833570fb548
1596,2001080,"Wetland Conservation Easement Program, Cherokee Farms",2001/05/18 00:00:00+00,Acquisition,Conservation Easement,Inland Wetlands Conservation Program,Interior Wetlands,California Department of Fish and Wildlife,Butte,1477000,1466602.42,476, ,1610,6996.52245178,3251623.09375,9059.88777793165,4c86975b-5b35-4b5c-bd60-46265a8c1261
1597,2001082,"Wetland Habitat Restoration, 2017 Ranch",2001/05/18 00:00:00+00,Development,Restoration/Enhancement,Inland Wetlands Conservation Program,Interior Wetlands,California Waterfowl Association,Colusa,198000,233835.94,608,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1611,7076.66422419,4253210.52734375,9109.51404545813,34bcbea8-840d-4efd-8e37-9c68b2234e83
1598,2001083,"Wetland Habitat Restoration, East Grasslands (Duck Slough)",2001/05/18 00:00:00+00,Development,Restoration/Enhancement,Inland Wetlands Conservation Program,Interior Wetlands,"Ducks Unlimited, Inc.",Merced,324000,420199.98,2000,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1612,19514.5940194,20685417.7851563,24524.1574325951,3db5ba2e-df50-4c0e-96a5-464c4e5a5aa6
1599,2001084,"Wetland Habitat Restoration, Honcut Creek (McCorkle Ranch)",2001/05/18 00:00:00+00,Development,Restoration/Enhancement,Inland Wetlands Conservation Program,Interior Wetlands,California Waterfowl Association,Butte,110000,198007.32,311,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1613,4837.86052526,2195075.54296875,6260.30123821242,87f5994e-63e6-49a0-b672-5c95efc2764c
1600,2001085,"Wetland Habitat Restoration, North Grasslands Wildlife Area, Gadwall Unit",2001/05/18 00:00:00+00,Development,Restoration/Enhancement,Inland Wetlands Conservation Program,Interior Wetlands,California Waterfowl Association,Merced,242000,190376.93,305,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1614,10195.9958765,5136228.45703125,12785.7226073707,b73092b9-4380-41ae-98a0-8ca5f1cb7483
1601,2001086,"Wetlands Habitat Restoration, South Grasslands (Britto Land Company, E.T.N., Inc. and Riverfield Cattle Company)",2001/05/18 00:00:00+00,Development,Restoration/Enhancement,Inland Wetlands Conservation Program,Interior Wetlands,"Ducks Unlimited, Inc.",Merced,19100,39590,637,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1615,15212.4276791,7033934.6875,19064.6585487829,351c50bb-9ecd-42be-9443-00b9e78b00cf
1602,2001087,Wohler Bridge Public Access Improvements,2001/05/18 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Sonoma,Sonoma,17270,17260,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1616,1089.88014707,40728.625,1394.36039768156,9f6aea0e-c548-4d0f-b12c-8537171ccf3f
1603,2001088,Woodson Bridge Fishing Access Improvements,2001/05/18 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Tehama,Tehama,326270,703780,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1617,1008.6314268,96179.8046875,1315.73486524716,32464dc3-9e44-4ed5-b86a-5aca8ff5596a
1604,2001089,"Allensworth Ecological Reserve, Expansion 23",2001/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,California Department of Fish and Wildlife,Tulare,8000,404,10, ,1618,795.380310948,60315.78515625,982.398860976369,1d793aa2-667c-41fa-9e3d-3850f65a0b80
1605,2001090,Arroyo Hondo Preserve,2001/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,Land Trust For Santa Barbara County,Santa Barbara,1510000,6176736,782, ,1619,10721.0123779,4936397,13029.3780510319,39db84ab-c39f-4474-9400-3b3869890a79
1606,2001091,Bair Island Restoration Plan,2001/08/30 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Coastal Wetlands,San Francisco Bay Wildlife Society,San Mateo,75000,245000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1620,54255.0015124,17544524.5351563,68477.7709375698,4c750927-37dc-423e-ba35-b3b1bbf3436b
1607,2001093,"Belden's Landing Fishing Access, Phase 3, Augmentation",2001/08/30 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Solano,Solano,156135,181135,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1622,2116.65962112,85726.890625,2695.06278898407,4526e11d-9e6a-4eda-a95a-ac178b337a10
1608,2001094,Big River Conservation Area,2001/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Fisheries Habitat,Mendocino Land Trust Inc.,Mendocino,5003000,26399944.82,7337, ,1623,48545.7164835,49425046.9414063,62763.2710447301,6fa7dc76-99b6-492d-a199-fadd50418a1e
1609,2001095,Bixby Ranch Donation,2001/08/30 00:00:00+00,Acquisition,Fee Title,Natural Heritage Preservation Tax Credit Program,Tax Credit - PRC 37015(e),The Trust For Public Land,Monterey,2972000,5402000,119, ,1624,2486.92982037,590345.35546875,3091.2324016088,0ae0831c-0f73-4357-945f-3047151c7614
1610,2001096,Bolsa Point Ranches,2001/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,Peninsula Open Space Trust,San Mateo,10010000,40001104,1719, ,1625,23063.520927,11382030.5664063,28987.7755492794,592da6f2-f21f-4b93-b885-fd5f6f7920c6
1611,2001098,"Camp Cady Wildlife Area, Expansion 7 (Augmentation)",2001/08/30 00:00:00+00,Acquisition,Fee Title,California Riparian Habitat Conservation Program,Riparian Habitat,California Department of Fish and Wildlife,San Bernardino,4500,3734.84,0, ,1626,5112.22634872,2012133.03515625,6240.70891003362,4e970413-b9ca-412d-9f66-c819322ca189
1612,2001099,Chorro Creek Ecological Reserve,2001/08/30 00:00:00+00,Acquisition,Fee Title,California Riparian Habitat Conservation Program,Salmonid/Steelhead Habitat,California Department of Fish and Wildlife,San Luis Obispo,2910000,5417846.5,580, ,1627,8349.46813639,3971666.296875,10247.9473637144,f26cd5f1-00da-423e-a3a2-d2f3d23e9cfa
1613,2001100,"Cosumnes River Wildlife Area, Expansion 10",2001/08/30 00:00:00+00,Acquisition,Conservation Easement,California Riparian Habitat Conservation Program,T&E Species Habitat,The Nature Conservancy,Sacramento,1060000,1054654,647, ,1628,8425.13571506,4127182.5546875,10751.9033696629,5290290b-6cc8-4adf-8853-af18db3d1f6a
1614,2001101,"Del Mar Mesa Vernal Pool Preserve, Expansion 1",2001/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Vernal Pool Habitat,City of San Diego,San Diego,0,506500,15.68, ,1629,1730.95565025,93160.9765625,2068.28821637534,4d3b79a1-d796-44ec-9c66-6dd8a9838428
1615,2001102,Dillonwood Grove,2001/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Forest Habitat,Save-the-Redwoods League,Tulare,675000,10231235,1540, ,1630,12523.022177,9076893.85546875,15553.0253044031,e4a1abfa-475c-4d0f-aff2-9924d885fa9a
1616,2001103,"East Merced Vernal Pool Grassland Preserve, Expansion 2",2001/08/30 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Vernal Pool Habitat,The Nature Conservancy,Merced,2606413,2604127,1763.6, ,1631,15650.418695,11586888.3203125,19694.858361734,3184cb16-bbb2-4436-b201-f7e9f562032f
1617,2001104,"East Merced Vernal Pool Grassland Preserve, Expansion 3",2001/08/30 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Vernal Pool Habitat,The Nature Conservancy,Merced,392983,390697,304.3, ,1632,4885.80354126,1986795.9765625,6148.10522789958,d28bed1f-675f-4ea4-96cd-50a82eb2b168
1618,2001105,"Feather River Wildlife Area, Marysville Unit",2001/08/30 00:00:00+00,Acquisition,Fee Title,California Riparian Habitat Conservation Program,Oak Woodland/Oak Savannah Habitat,California Department of Fish and Wildlife,Yuba,18500,12790,6, ,1633,1249.98028512,87920.66015625,1614.13252537446,38ac12b4-085e-49fc-a0c3-db6e848c67a8
1619,2001106,"Habitat Restoration, White Point Nature Preserve",2001/08/30 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,T&E Species Habitat,Palos Verdes Peninsula Land Conservancy,Los Angeles,810000,1700000,90,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1634,2737.64979295,591078.8125,3294.22887328468,d11767c6-ed7d-4f7f-b191-156c589c42dd
1620,2001108,"Irish Hills Conservation Area, Expansion 1",2001/08/30 00:00:00+00,Acquisition,Fee Title,California Riparian Habitat Conservation Program,Oak Woodland/Oak Savannah Habitat,City of San Luis Obispo,San Luis Obispo,302500,1751211,241, ,1635,3915.74423377,1442022.453125,4800.17313624535,33f383db-5fcd-4e2f-ac81-96af0abed5d3
1621,2001109,"Iron Mountain Wildlife Area, Expansion 1",2001/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,County of San Diego,San Diego,2005000,4440736,716.5, ,1636,12786.1507649,4387449.73046875,15265.9689860345,9ddad044-ee38-4a53-9756-4738685a6302
1622,2001110,Jacoby Creek Forest,2001/08/30 00:00:00+00,Acquisition,Fee Title,California Riparian Habitat Conservation Program,Riparian Habitat,City of Arcata,Humboldt,815000,850736,331, ,1637,5832.51251917,2360279.1953125,7698.30082186966,f61da874-bf43-4831-97a2-523b8d19a60d
1623,2001111,Jepson Prairie Ecosystem Conservation Area,2001/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Vernal Pool Habitat,The Nature Conservancy,Solano,2505000,1288797.69,3459, ,1638,28373.1936915,22905366.0898438,36164.339535821,bc17fdaa-89f2-4ed5-8241-5c612cb409d0
1624,2001112,Kern County Valley Floor Habitat Conservation Plan (VFHCP),2001/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Rangeland,Kern Water Bank Authority,Kern,309500,605000,495, ,1639,6553.35957167,3079305.04296875,8039.01736302485,94c59c01-32af-441d-bf63-70d40beb7353
1625,2001113,Lake Shastina Public Access Improvements,2001/08/30 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Siskiyou,Siskiyou,35270,34501.86,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1640,1974.08847636,17834.6171875,2638.324339203,fb754685-8c6f-44bc-b284-f4176ba863f0
1626,2001114,"Lake Siskiyou Fishing Access, North Shore",2001/08/30 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Siskiyou,Siskiyou,20270,19597.85,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1641,246.157881826,6599.5859375,327.784956062842,aaf78ed8-326b-47f6-94cf-8aadf9647bce
